File Name,Model,C1,k1,k2,alpha
"PigHeartWallRight08_4.csv","HGO-CF","-0.6982955987846745,2.5872991437718875,-0.22177171210441973,5.298733173046704","","",""
"PigHeartWallRight07_4.csv","HGO-CF","18.10534437141374,-11.778387748484773,-1.6949742446064437,10.179297815475644","","",""
"PigHeartWallRight06_4.csv","HGO-CF","-0.31010542813194547,4.20191922687332,-0.3648424122956848,0.9020533947238552","","",""
"PigHeartWallRight05_4.csv","HGO-CF","-1.0991653485800483,2.6704279624982656,0.07997978285384176,0.7180988809233713","","",""
"PigHeartWallRight04_4.csv","HGO-CF","13.98390550499053,-9.043958536340162,-2.0729323128571404,-19.640291868557988","","",""
"PigHeartWallMid_07_4.csv","HGO-CF","-0.004202283289834608,1.9485106721371381,-0.5408393197329925,-0.6219109311479559","","",""


# Details:
Description: Test
Creator: Test
Link: Test
